path=/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,fileName=20201222_WTMBT_B6_3_LD5.mp4,width=1296.0,height=972.0,aspectRatio=0.75,fps=30.00030000300003,numFrames=54630,numSeconds=1820.98,numEvents=92,videoFileNote=,
index,path,cSeconds,cDate,cTime,typeNum,typeStr,frameStart,frameStop,numFrames,sStart,sStop,numSeconds,chunkIndex,rChunkIndex,note,
0,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622648267.177036,2021-06-02,11:37:47,1,a,4528,,None,150.93,,None,787,73,,,
1,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622648267.642206,2021-06-02,11:37:47,2,b,4536,,None,151.2,,None,787,73,,,
2,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622648268.098258,2021-06-02,11:37:48,7,g,4543,,None,151.43,,None,787,73,,,
3,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622648724.369834,2021-06-02,11:45:24,7,g,14422,,None,480.73,,None,783,98,,,
4,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622648725.1342652,2021-06-02,11:45:25,1,a,14436,,None,481.2,,None,783,98,,,
5,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622648725.2683609,2021-06-02,11:45:25,2,b,14436,,None,481.2,,None,783,98,,,
6,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622648889.42011,2021-06-02,11:48:09,1,a,44422,,None,1480.72,,None,800,107,,,
7,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622648889.838277,2021-06-02,11:48:09,2,b,44429,,None,1480.95,,None,800,107,,,
8,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622648891.219487,2021-06-02,11:48:11,7,g,44457,,None,1481.89,,None,800,107,,,
9,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622649051.900212,2021-06-02,11:50:51,1,a,52524,,None,1750.78,,None,802,112,,,
10,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622649052.93479,2021-06-02,11:50:52,2,b,52544,,None,1751.45,,None,802,112,,,
11,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622649053.699763,2021-06-02,11:50:53,7,g,52558,,None,1751.92,,None,802,112,,,
12,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622650441.756088,2021-06-02,12:14:01,7,g,10889,,None,362.96,,None,786,181,,,
13,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622650442.264661,2021-06-02,12:14:02,1,a,10898,,None,363.26,,None,786,181,,,
14,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622650442.468224,2021-06-02,12:14:02,2,b,10900,,None,363.33,,None,786,181,,,
15,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622650451.3862011,2021-06-02,12:14:11,5,e,11096,,None,369.86,,None,786,181,,,
16,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622650451.920633,2021-06-02,12:14:11,4,d,11099,,None,369.96,,None,None,None,,,
17,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622650471.1739972,2021-06-02,12:14:31,7,g,44153,,None,1471.75,,None,804,183,,,
18,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622650481.887475,2021-06-02,12:14:41,1,a,44390,,None,1479.65,,None,804,183,,,
19,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622650482.009255,2021-06-02,12:14:42,2,b,44390,,None,1479.65,,None,804,183,,,
20,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622651455.103152,2021-06-02,12:30:55,1,a,13557,,None,451.9,,None,782,229,,,
21,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622651455.259449,2021-06-02,12:30:55,2,b,13557,,None,451.9,,None,782,229,,,
22,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622651455.935502,2021-06-02,12:30:55,7,g,13569,,None,452.3,,None,782,229,,,
23,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622651631.200914,2021-06-02,12:33:51,1,a,43824,,None,1460.79,,None,805,237,,,
24,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622651631.351841,2021-06-02,12:33:51,2,b,43825,,None,1460.82,,None,805,237,,,
25,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622651632.894541,2021-06-02,12:33:52,7,g,43857,,None,1461.89,,None,805,237,,,
26,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622655169.417755,2021-06-02,13:32:49,1,a,26738,,None,891.26,,None,793,334,,,
27,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622655169.596566,2021-06-02,13:32:49,2,b,26739,,None,891.29,,None,793,334,,,
28,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622655174.81312,2021-06-02,13:32:54,7,g,26853,,None,895.09,,None,793,334,,,
29,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622655443.380539,2021-06-02,13:37:23,1,a,42635,,None,1421.15,,None,808,345,,,
30,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622655443.5835478,2021-06-02,13:37:23,2,b,42637,,None,1421.22,,None,808,345,,,
31,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622655453.19072,2021-06-02,13:37:33,4,d,42849,,None,1428.29,,None,808,345,,,
32,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622655453.327025,2021-06-02,13:37:33,5,e,42850,,None,1428.32,,None,808,345,,,
33,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622655567.529057,2021-06-02,13:39:27,1,a,30949,,None,1031.62,,None,795,352,,,
34,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622655567.7614279,2021-06-02,13:39:27,2,b,30949,,None,1031.62,,None,795,352,,,
35,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201222_WTMBT_B6_3_LD5.mp4,1622655569.890487,2021-06-02,13:39:29,7,g,30975,,None,1032.49,,None,795,352,,,
