path=/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201225_WTMBT_B6_5_LD5.mp4,fileName=20201225_WTMBT_B6_5_LD5.mp4,width=1296.0,height=972.0,aspectRatio=0.75,fps=30.000299997518066,numFrames=54726,numSeconds=1824.18,numEvents=75,videoFileNote=,
index,path,cSeconds,cDate,cTime,typeNum,typeStr,frameStart,frameStop,numFrames,sStart,sStop,numSeconds,chunkIndex,rChunkIndex,note,
0,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201225_WTMBT_B6_5_LD5.mp4,1622648247.1977768,2021-06-02,11:37:27,7,g,5123,,None,170.76,,None,840,72,,,
1,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201225_WTMBT_B6_5_LD5.mp4,1622648587.075225,2021-06-02,11:43:07,1,a,23426,,None,780.86,,None,854,92,,,
2,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201225_WTMBT_B6_5_LD5.mp4,1622648587.5364292,2021-06-02,11:43:07,2,b,23434,,None,781.13,,None,854,92,,,
3,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201225_WTMBT_B6_5_LD5.mp4,1622648588.504983,2021-06-02,11:43:08,7,g,23453,,None,781.76,,None,854,92,,,
4,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201225_WTMBT_B6_5_LD5.mp4,1622650273.859898,2021-06-02,12:11:13,7,g,15021,,None,500.69,,None,848,173,,,
5,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201225_WTMBT_B6_5_LD5.mp4,1622650642.1341949,2021-06-02,12:17:22,7,g,20564,,None,685.46,,None,859,192,,,
6,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201225_WTMBT_B6_5_LD5.mp4,1622650642.774954,2021-06-02,12:17:22,1,a,20575,,None,685.83,,None,859,192,,,
7,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201225_WTMBT_B6_5_LD5.mp4,1622650642.9665432,2021-06-02,12:17:22,2,b,20576,,None,685.86,,None,859,192,,,
8,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201225_WTMBT_B6_5_LD5.mp4,1622651039.722242,2021-06-02,12:23:59,8,h,2176,,None,72.53,,None,849,209,,,
9,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201225_WTMBT_B6_5_LD5.mp4,1622651049.872565,2021-06-02,12:24:09,3,c,2399,,None,79.97,,None,None,None,,,
10,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201225_WTMBT_B6_5_LD5.mp4,1622651269.9494112,2021-06-02,12:27:49,1,a,33023,,None,1100.76,,None,850,222,,,
11,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201225_WTMBT_B6_5_LD5.mp4,1622651275.213207,2021-06-02,12:27:55,7,g,33138,,None,1104.59,,None,850,222,,,
12,/Volumes/Samsung_2TB/WTMBT_MERGED_FOR_ANALYSIS/20201225_WTMBT_B6_5_LD5.mp4,1622651277.489652,2021-06-02,12:27:57,2,b,33186,,None,1106.19,,None,850,222,,,
